name,wal_level,mode,compression,width,jobs,wal_buffers,rows,elapsed_s,rows_per_s,wal_records,wal_fpi,wal_bytes,wal_fpi_bytes,wal_bytes_per_row,wal_to_heap_ratio,wal_MB_per_s,wal_buffers_full,wal_io_writes,wal_io_write_time_ms,wal_io_fsyncs,wal_io_fsync_time_ms,heap_bytes
narrow_replica_j1,replica,existing,off,narrow,1,16MB,10000000,2.822,3543586,63803,18,245137587,138592,24.5,0.55,82.8,10,54,52.2,44,512.7,443154432
narrow_replica_j2,replica,existing,off,narrow,2,16MB,10000000,1.657,6035003,63920,18,245254978,139888,24.5,0.55,141.2,2018,2042,68.8,27,389.3,442892288
narrow_replica_j4,replica,existing,off,narrow,4,16MB,10000000,1.351,7401924,63980,18,245299898,138868,24.5,0.55,173.2,19790,19800,155.8,21,400.5,442957824
wide_replica_j1,replica,existing,off,wide,1,16MB,600000,2.697,222469,93534,27,612107945,211112,1020.2,0.87,216.4,1895,1974,127.6,80,1048.0,702676992
wide_replica_j4,replica,existing,off,wide,4,16MB,600000,2.307,260078,93902,27,612131802,214480,1020.2,0.87,253.0,56877,56890,359.8,43,973.0,702611456
narrow_unlogged_j1,replica,unlogged,off,narrow,1,16MB,10000000,2.183,4580852,3,2,6028,5896,0.0,0.00,0.0,0,1,0.0,1,22.9,443154432
narrow_unlogged_j4,replica,unlogged,off,narrow,4,16MB,10000000,0.740,13513513,6,2,7426,7192,0.0,0.00,0.0,0,2,0.1,2,4.2,442826752
wide_unlogged_j1,replica,unlogged,off,wide,1,16MB,600000,1.222,490998,4,3,18709,18528,0.0,0.00,0.0,0,2,0.1,2,2.2,702676992
narrow_minimal_newrel_j1,minimal,newrel,off,narrow,1,16MB,10000000,3.418,2925687,42,17,105046,101684,0.0,0.00,0.0,0,2,0.1,2,2.4,443285504
wide_minimal_newrel_j1,minimal,newrel,off,wide,1,16MB,600000,3.261,183992,101,25,160577,150400,0.3,0.00,0.0,0,3,0.2,3,9.9,702971904
narrow_minimal_existing_j1,minimal,existing,off,narrow,1,16MB,10000000,2.878,3474635,63803,18,245138443,139448,24.5,0.55,81.2,101,143,50.5,42,486.8,443154432
narrow_replica_freeze_j1,replica,newrel_freeze,off,narrow,1,16MB,10000000,2.763,3619254,63829,18,245538796,103772,24.6,0.55,84.7,0,45,51.4,45,479.2,443219968
wide_replica_freeze_j1,replica,newrel_freeze,off,wide,1,16MB,600000,2.622,228832,93605,24,612725375,133748,1021.2,0.87,222.9,1502,1576,136.7,76,1021.1,702906368
narrow_replica_lz4_j1,replica,existing,lz4,narrow,1,16MB,10000000,3.084,3242542,63803,18,245003213,4214,24.5,0.55,75.8,0,47,49.1,47,686.8,443154432
narrow_logical_j1,logical,existing,off,narrow,1,16MB,10000000,2.952,3387533,63803,18,245139179,140172,24.5,0.55,79.2,0,43,47.7,43,530.7,443154432
narrow_replica_j4_wb256,replica,existing,off,narrow,4,256MB,10000000,1.241,8058017,63951,18,245294237,141468,24.5,0.55,188.5,0,25,241.9,25,415.4,442892288
wide_replica_j4_wb256,replica,existing,off,wide,4,256MB,600000,1.953,307219,93936,27,612131700,212192,1020.2,0.87,298.9,0,53,519.4,53,919.5,702676992
wide_replica_j1_wb256,replica,existing,off,wide,1,256MB,600000,2.594,231303,93534,27,612105705,208872,1020.2,0.87,225.0,0,81,115.2,81,1018.4,702676992
