# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cycles:Pu'
# Event count (approx.): 20183951426
#
# Children      Self  Command   Shared Object     Symbol                                 
# ........  ........  ........  ................  .......................................
#
    99.99%     0.00%  postgres  libc.so.6         [.] __libc_start_call_main
    99.99%     0.00%  postgres  postgres          [.] PostgresMain
    99.99%     0.00%  postgres  postgres          [.] PostmasterMain
    99.99%     0.00%  postgres  postgres          [.] ServerLoop.isra.0
    99.99%     0.00%  postgres  postgres          [.] exec_simple_query
    99.99%     0.00%  postgres  postgres          [.] main
    99.99%     0.00%  postgres  postgres          [.] postmaster_child_launch
    99.99%     0.00%  postgres  postgres          [.] 0x00000000008c6fbf
    99.99%     0.00%  postgres  postgres          [.] DoCopy
    99.99%     0.00%  postgres  postgres          [.] PortalRun
    99.99%     0.00%  postgres  postgres          [.] PortalRunMulti
    99.99%     0.00%  postgres  postgres          [.] PortalRunUtility
    99.99%     0.00%  postgres  postgres          [.] standard_ProcessUtility
    99.49%     5.42%  postgres  postgres          [.] CopyFrom
    43.01%     3.09%  postgres  postgres          [.] NextCopyFrom
    39.30%     6.45%  postgres  postgres          [.] CopyFromTextOneRow
    29.11%     0.48%  postgres  postgres          [.] CopyMultiInsertBufferFlush
    23.46%     4.88%  postgres  postgres          [.] heap_multi_insert
    19.43%     1.60%  postgres  postgres          [.] tts_buffer_heap_materialize
    17.47%     3.85%  postgres  postgres          [.] heap_form_tuple
    13.77%    11.24%  postgres  postgres          [.] CopyReadLine
    11.47%     3.65%  postgres  postgres          [.] InputFunctionCallSafe
     8.01%     0.15%  postgres  postgres          [.] RelationGetBufferForTuple
     7.88%     7.58%  postgres  postgres          [.] pg_strtoint64_safe
     7.32%     7.11%  postgres  postgres          [.] CopyReadAttributesText
     6.94%     3.24%  postgres  postgres          [.] RelationPutHeapTuple
     6.68%     3.06%  postgres  postgres          [.] heap_fill_tuple
     6.22%     0.00%  postgres  postgres          [.] RelationAddBlocks
     5.15%     0.00%  postgres  postgres          [.] ExtendBufferedRelBy
     5.13%     0.16%  postgres  postgres          [.] ExtendBufferedRelCommon
     4.45%     3.95%  postgres  postgres          [.] palloc0
     3.88%     3.48%  postgres  postgres          [.] fill_val
     3.87%     2.28%  postgres  postgres          [.] tts_buffer_heap_clear
     3.52%     0.02%  postgres  postgres          [.] GetVictimBuffer
     3.28%     3.01%  postgres  postgres          [.] PageAddItemExtended
     2.70%     0.04%  postgres  postgres          [.] FlushBuffer.constprop.0
