name,wal_level,mode,compression,width,jobs,wal_buffers,images,rows,elapsed_s,rows_per_s,wal_records,wal_fpi,wal_bytes,wal_fpi_bytes,wal_bytes_per_row,wal_to_heap_ratio,wal_MB_per_s,wal_buffers_full,wal_io_writes,wal_io_write_time_ms,wal_io_fsyncs,wal_io_fsync_time_ms,heap_bytes
narrow_replica_j1_r1,replica,existing,off,narrow,1,16MB,off,10000000,1.775,5633802,63803,18,245137587,138592,24.5,0.55,131.7,0,43,18.3,43,115.3,443154432
narrow_img_lz4_j1_r1,replica,existing,lz4,narrow,1,16MB,on,10000000,2.010,4975124,63803,44073,190849133,141145949,19.1,0.43,90.6,0,42,14.1,42,92.6,443154432
narrow_replica_j4_r1,replica,existing,off,narrow,4,16MB,off,10000000,0.664,15060240,63993,18,245298792,138868,24.5,0.55,352.3,22605,22614,40.1,19,106.0,443219968
narrow_img_lz4_j4_r1,replica,existing,lz4,narrow,4,16MB,on,10000000,0.717,13947001,63985,44131,190749476,141166116,19.1,0.43,253.7,9888,9906,25.6,22,89.6,443187200
wide_replica_j1_r1,replica,existing,off,wide,1,16MB,off,600000,1.263,475059,93534,27,612109241,212408,1020.2,0.87,462.2,1468,1545,45.3,79,275.2,702676992
wide_img_lz4_j1_r1,replica,existing,lz4,wide,1,16MB,on,600000,1.113,539083,93534,76650,121123118,51457574,201.9,0.17,103.8,0,52,9.0,52,62.0,702676992
wide_replica_j4_r1,replica,existing,off,wide,4,16MB,off,600000,0.726,826446,93995,27,612138281,215336,1020.2,0.87,804.1,68331,68339,106.4,43,267.3,702480384
wide_img_lz4_j4_r1,replica,existing,lz4,wide,4,16MB,on,600000,0.444,1351351,94029,76672,120723469,51185630,201.2,0.17,259.3,0,21,11.2,21,55.5,702644224
rand_replica_j1_r1,replica,existing,off,rand,1,16MB,off,600000,1.271,472069,93420,27,608448203,216904,1014.1,0.87,456.5,1502,1581,44.3,80,279.6,702316544
rand_img_lz4_j1_r1,replica,existing,lz4,rand,1,16MB,on,600000,1.262,475435,93420,27,608238345,7040,1013.7,0.87,459.6,1836,1911,45.0,77,272.5,702316544
rand_replica_j4_r1,replica,existing,off,rand,4,16MB,off,600000,0.723,829875,93929,27,608477945,218472,1014.1,0.87,802.6,64624,64634,103.1,43,266.9,702480384
rand_img_lz4_j4_r1,replica,existing,lz4,rand,4,16MB,on,600000,0.731,820793,93937,27,608265730,5837,1013.8,0.87,793.6,65823,65832,105.1,42,269.4,702676992
wide_img_zstd_j1_r1,replica,existing,zstd,wide,1,16MB,on,600000,1.694,354191,93534,76650,99663077,29997533,166.1,0.14,56.1,0,52,7.3,52,55.7,702676992
wide_img_zstd_j4_r1,replica,existing,zstd,wide,4,16MB,on,600000,0.630,952380,93845,76673,99366393,29846165,165.6,0.14,150.4,0,21,8.3,21,48.1,702414848
narrow_img_j1_r1,replica,existing,off,narrow,1,16MB,on,10000000,1.771,5646527,63803,18,245138659,139664,24.5,0.55,132.0,0,43,18.0,43,113.5,443154432
wide_img_j1_r1,replica,existing,off,wide,1,16MB,on,600000,1.256,477707,93534,27,612109737,212904,1020.2,0.87,464.8,1203,1281,45.1,78,277.8,702676992
narrow_replica_j1_r2,replica,existing,off,narrow,1,16MB,off,10000000,1.767,5659309,63803,18,245139659,140664,24.5,0.55,132.3,0,45,18.1,45,114.2,443154432
narrow_img_lz4_j1_r2,replica,existing,lz4,narrow,1,16MB,on,10000000,2.009,4977600,63803,44073,190849540,141146356,19.1,0.43,90.6,0,39,14.0,39,93.7,443154432
narrow_replica_j4_r2,replica,existing,off,narrow,4,16MB,off,10000000,0.649,15408320,63980,18,245310787,138504,24.5,0.55,360.5,21001,21010,38.4,22,107.5,442892288
narrow_img_lz4_j4_r2,replica,existing,lz4,narrow,4,16MB,on,10000000,0.741,13495276,63978,44126,190761112,141150758,19.1,0.43,245.5,8386,8403,24.2,20,89.5,442826752
wide_replica_j1_r2,replica,existing,off,wide,1,16MB,off,600000,1.261,475812,93534,27,612113561,216728,1020.2,0.87,462.9,2423,2499,46.0,78,278.9,702676992
wide_img_lz4_j1_r2,replica,existing,lz4,wide,1,16MB,on,600000,1.109,541027,93534,76650,121123193,51457649,201.9,0.17,104.2,0,51,8.8,51,62.7,702676992
wide_replica_j4_r2,replica,existing,off,wide,4,16MB,off,600000,0.726,826446,93988,27,612138189,215668,1020.2,0.87,804.1,67947,67956,106.5,42,266.5,702185472
wide_img_lz4_j4_r2,replica,existing,lz4,wide,4,16MB,on,600000,0.450,1333333,94059,76684,120649164,51194583,201.1,0.17,255.7,0,21,10.8,21,55.3,702251008
rand_replica_j1_r2,replica,existing,off,rand,1,16MB,off,600000,1.262,475435,93420,27,608438595,207296,1014.1,0.87,459.8,746,825,43.6,79,276.2,702316544
rand_img_lz4_j1_r2,replica,existing,lz4,rand,1,16MB,on,600000,1.276,470219,93420,27,608237240,5935,1013.7,0.87,454.6,2836,2911,46.6,78,277.2,702316544
rand_replica_j4_r2,replica,existing,off,rand,4,16MB,off,600000,0.750,800000,93953,27,608475301,214540,1014.1,0.87,773.7,64259,64270,103.9,43,276.5,702234624
rand_img_lz4_j4_r2,replica,existing,lz4,rand,4,16MB,on,600000,0.729,823045,93946,27,608266633,6077,1013.8,0.87,795.7,66213,66221,105.2,41,272.4,702480384
wide_img_zstd_j1_r2,replica,existing,zstd,wide,1,16MB,on,600000,1.711,350672,93534,76650,99577010,29911466,166.0,0.14,55.5,0,54,7.4,54,50.3,702676992
wide_img_zstd_j4_r2,replica,existing,zstd,wide,4,16MB,on,600000,0.624,961538,93837,76667,99402041,29839622,165.7,0.14,151.9,0,22,8.7,22,50.5,702611456
narrow_img_j1_r2,replica,existing,off,narrow,1,16MB,on,10000000,1.795,5571030,63803,18,245139439,140444,24.5,0.55,130.2,0,44,18.0,44,114.3,443154432
wide_img_j1_r2,replica,existing,off,wide,1,16MB,on,600000,1.262,475435,93534,27,612114241,217408,1020.2,0.87,462.6,1299,1373,44.5,76,275.5,702676992
narrow_replica_j1_r3,replica,existing,off,narrow,1,16MB,off,10000000,1.775,5633802,63803,18,245137863,138868,24.5,0.55,131.7,0,44,18.0,44,114.6,443154432
narrow_img_lz4_j1_r3,replica,existing,lz4,narrow,1,16MB,on,10000000,2.005,4987531,63803,44073,190849502,141146318,19.1,0.43,90.8,0,39,14.2,39,92.8,443154432
narrow_replica_j4_r3,replica,existing,off,narrow,4,16MB,off,10000000,0.670,14925373,63991,18,245299129,141468,24.5,0.55,349.2,23879,23887,41.2,18,107.8,443056128
narrow_img_lz4_j4_r3,replica,existing,lz4,narrow,4,16MB,on,10000000,0.685,14598540,63977,44123,190763255,141141888,19.1,0.43,265.6,9951,9968,25.1,21,88.0,443219968
wide_replica_j1_r3,replica,existing,off,wide,1,16MB,off,600000,1.263,475059,93534,27,612106409,209576,1020.2,0.87,462.2,575,656,44.4,81,278.0,702676992
wide_img_lz4_j1_r3,replica,existing,lz4,wide,1,16MB,on,600000,1.118,536672,93534,76650,121123589,51458045,201.9,0.17,103.3,0,51,8.9,51,65.5,702676992
wide_replica_j4_r3,replica,existing,off,wide,4,16MB,off,600000,0.767,782268,94021,27,612135003,210588,1020.2,0.87,761.1,66016,66027,108.4,42,272.0,702595072
wide_img_lz4_j4_r3,replica,existing,lz4,wide,4,16MB,on,600000,0.480,1250000,94028,76695,120575325,51200498,201.0,0.17,239.6,0,22,10.0,22,55.8,702414848
rand_replica_j1_r3,replica,existing,off,rand,1,16MB,off,600000,1.280,468750,93420,27,608446299,215000,1014.1,0.87,453.3,2004,2082,46.1,79,276.8,702316544
rand_img_lz4_j1_r3,replica,existing,lz4,rand,1,16MB,on,600000,1.278,469483,93420,27,608237662,6357,1013.7,0.87,453.9,1611,1688,45.1,78,273.9,702316544
rand_replica_j4_r3,replica,existing,off,rand,4,16MB,off,600000,0.739,811907,93925,27,608473057,213648,1014.1,0.87,785.2,64923,64932,103.8,42,273.5,702480384
rand_img_lz4_j4_r3,replica,existing,lz4,rand,4,16MB,on,600000,0.755,794701,93904,27,608265458,7160,1013.8,0.87,768.3,64733,64742,104.9,43,272.3,702644224
wide_img_zstd_j1_r3,replica,existing,zstd,wide,1,16MB,on,600000,1.707,351493,93534,76650,99654390,29988846,166.1,0.14,55.7,0,51,7.4,51,55.1,702676992
wide_img_zstd_j4_r3,replica,existing,zstd,wide,4,16MB,on,600000,0.679,883652,93845,76676,99329155,29830324,165.5,0.14,139.5,0,21,8.5,21,48.4,702414848
narrow_img_j1_r3,replica,existing,off,narrow,1,16MB,on,10000000,1.780,5617977,63803,18,245138543,139548,24.5,0.55,131.3,0,44,18.2,44,117.2,443154432
wide_img_j1_r3,replica,existing,off,wide,1,16MB,on,600000,1.266,473933,93534,27,612107117,210284,1020.2,0.87,461.1,1299,1378,45.1,80,278.3,702676992
