name,wal_level,mode,compression,width,jobs,wal_buffers,images,rows,elapsed_s,rows_per_s,wal_records,wal_fpi,wal_bytes,wal_fpi_bytes,wal_bytes_per_row,wal_to_heap_ratio,wal_MB_per_s,wal_buffers_full,wal_io_writes,wal_io_write_time_ms,wal_io_fsyncs,wal_io_fsync_time_ms,heap_bytes
wide_replica_j1_r1,replica,existing,off,wide,1,16MB,off,600000,1.257,477326,93534,27,612110993,214160,1020.2,0.87,464.4,2087,2163,45.5,78,270.6,702676992
wide_zstd_j1_r1,replica,existing,zstd,wide,1,16MB,off,600000,1.256,477707,93534,27,611901042,4203,1019.8,0.87,464.6,909,989,44.4,81,272.0,702676992
wide_img_j1_r1,replica,existing,off,wide,1,16MB,on,600000,1.263,475059,93534,76650,627234464,557722172,1045.4,0.89,473.6,1375,1455,46.1,80,286.5,702676992
wide_img_zstd_j1_r1,replica,existing,zstd,wide,1,16MB,on,600000,1.692,354609,93534,76650,99662670,29997126,166.1,0.14,56.2,0,52,7.4,52,54.2,702676992
wide_img_lz4_j1_r1,replica,existing,lz4,wide,1,16MB,on,600000,1.099,545950,93534,76650,121123461,51457917,201.9,0.17,105.1,0,51,8.9,51,62.0,702676992
wide_replica_j4_r1,replica,existing,off,wide,4,16MB,off,600000,0.716,837988,94012,27,612139857,215944,1020.2,0.87,815.3,66453,66462,104.4,44,260.7,702529536
wide_img_zstd_j4_r1,replica,existing,zstd,wide,4,16MB,on,600000,0.617,972447,93844,76665,99454555,29877746,165.8,0.14,153.7,0,21,8.4,21,49.5,702644224
wide_img_lz4_j4_r1,replica,existing,lz4,wide,4,16MB,on,600000,0.445,1348314,94045,76670,120737851,51184982,201.2,0.17,258.8,0,22,10.5,22,55.4,702595072
narrow_replica_j1_r1,replica,existing,off,narrow,1,16MB,off,10000000,1.813,5515719,63803,18,245143867,144872,24.5,0.55,129.0,102,143,18.3,41,113.0,443154432
narrow_img_zstd_j1_r1,replica,existing,zstd,narrow,1,16MB,on,10000000,2.707,3694126,63803,44073,107656680,57953496,10.8,0.24,37.9,0,41,8.0,41,103.8,443154432
narrow_img_lz4_j1_r1,replica,existing,lz4,narrow,1,16MB,on,10000000,2.012,4970178,63803,44073,190848084,141144900,19.1,0.43,90.5,0,38,14.0,38,93.2,443154432
narrow_replica_j4_r1,replica,existing,off,narrow,4,16MB,off,10000000,0.676,14792899,63975,18,245297002,135816,24.5,0.55,346.1,23484,23492,40.5,18,110.4,443285504
narrow_img_zstd_j4_r1,replica,existing,zstd,narrow,4,16MB,on,10000000,0.897,11148272,63967,44122,107608624,58014094,10.8,0.24,114.4,0,20,8.9,20,56.0,443416576
narrow_img_lz4_j4_r1,replica,existing,lz4,narrow,4,16MB,on,10000000,0.678,14749262,63982,44136,190748316,141182447,19.1,0.43,268.3,10127,10146,25.0,22,83.2,443154432
rand_replica_j1_r1,replica,existing,off,rand,1,16MB,off,600000,1.265,474308,93420,27,608440603,209304,1014.1,0.87,458.7,1613,1690,44.9,79,275.5,702316544
rand_img_zstd_j1_r1,replica,existing,zstd,rand,1,16MB,on,600000,3.350,179104,93420,76786,485579338,417270839,809.3,0.69,138.2,0,73,35.9,73,221.8,702316544
