name,wal_level,mode,compression,width,jobs,wal_buffers,images,rows,elapsed_s,rows_per_s,wal_records,wal_fpi,wal_bytes,wal_fpi_bytes,wal_bytes_per_row,wal_to_heap_ratio,wal_MB_per_s,wal_buffers_full,wal_io_writes,wal_io_write_time_ms,wal_io_fsyncs,wal_io_fsync_time_ms,heap_bytes
narrow_replica_j1,replica,existing,off,narrow,1,16MB,off,10000000,1.816,5506607,63803,18,245137587,138592,24.5,0.55,128.7,0,42,18.1,42,109.7,443154432
narrow_replica_j2,replica,existing,off,narrow,2,16MB,off,10000000,1.017,9832841,63927,18,245258610,139888,24.5,0.55,230.0,2908,2935,21.2,28,111.8,443023360
narrow_replica_j4,replica,existing,off,narrow,4,16MB,off,10000000,0.679,14727540,63981,18,245293359,138868,24.5,0.55,344.5,23142,23151,40.1,20,115.6,443154432
wide_replica_j1,replica,existing,off,wide,1,16MB,off,600000,1.415,424028,93534,27,612107945,211112,1020.2,0.87,412.5,2467,2544,48.0,78,431.5,702676992
wide_replica_j4,replica,existing,off,wide,4,16MB,off,600000,0.723,829875,94022,27,612138889,214480,1020.2,0.87,807.4,65033,65042,102.6,43,263.5,702545920
narrow_unlogged_j1,replica,unlogged,off,narrow,1,16MB,off,10000000,1.661,6020469,3,2,6028,5896,0.0,0.00,0.0,0,2,0.0,2,86.7,443154432
narrow_unlogged_j4,replica,unlogged,off,narrow,4,16MB,off,10000000,0.483,20703933,6,2,7426,7192,0.0,0.00,0.0,0,4,0.0,4,7.2,443219968
wide_unlogged_j1,replica,unlogged,off,wide,1,16MB,off,600000,0.846,709219,4,3,18709,18528,0.0,0.00,0.0,0,2,0.0,2,4.6,702676992
narrow_minimal_newrel_j1,minimal,newrel,off,narrow,1,16MB,off,10000000,1.814,5512679,42,17,105046,101684,0.0,0.00,0.1,0,2,0.0,2,0.6,443285504
wide_minimal_newrel_j1,minimal,newrel,off,wide,1,16MB,off,600000,1.508,397877,101,25,160577,150400,0.3,0.00,0.1,0,3,0.0,3,388.1,702971904
narrow_minimal_existing_j1,minimal,existing,off,narrow,1,16MB,off,10000000,1.814,5512679,63803,18,245138443,139448,24.5,0.55,128.9,0,41,18.4,41,117.3,443154432
narrow_replica_freeze_j1,replica,newrel_freeze,off,narrow,1,16MB,off,10000000,1.845,5420054,63829,18,245538796,103772,24.6,0.55,126.9,0,42,18.3,42,113.6,443219968
wide_replica_freeze_j1,replica,newrel_freeze,off,wide,1,16MB,off,600000,1.257,477326,93605,24,612725375,133748,1021.2,0.87,464.9,2272,2349,49.0,79,279.8,702906368
narrow_replica_lz4_j1,replica,existing,lz4,narrow,1,16MB,off,10000000,1.820,5494505,63803,18,245003213,4214,24.5,0.55,128.4,0,44,18.5,44,116.4,443154432
narrow_logical_j1,logical,existing,off,narrow,1,16MB,off,10000000,1.808,5530973,63803,18,245139179,140172,24.5,0.55,129.3,134,177,18.9,43,115.0,443154432
narrow_replica_j4_wb256,replica,existing,off,narrow,4,256MB,off,10000000,0.676,14792899,63970,18,245302140,141468,24.5,0.55,346.1,0,26,25.0,26,110.3,443088896
wide_replica_j4_wb256,replica,existing,off,wide,4,256MB,off,600000,0.723,829875,94060,27,612138566,212192,1020.2,0.87,807.4,0,49,59.3,49,268.4,702234624
