name,wal_level,mode,compression,width,jobs,wal_buffers,images,rows,elapsed_s,rows_per_s,wal_records,wal_fpi,wal_bytes,wal_fpi_bytes,wal_bytes_per_row,wal_to_heap_ratio,wal_MB_per_s,wal_buffers_full,wal_io_writes,wal_io_write_time_ms,wal_io_fsyncs,wal_io_fsync_time_ms,heap_bytes
narrow_replica_j1,replica,existing,off,narrow,1,16MB,off,10000000,6.726,1486767,63803,18,245137587,138592,24.5,0.55,34.8,0,44,52.3,44,3353.3,443154432
narrow_replica_j2,replica,existing,off,narrow,2,16MB,off,10000000,1.761,5678591,63932,18,245260473,139888,24.5,0.55,132.8,1710,1736,64.3,27,410.1,442859520
narrow_replica_j4,replica,existing,off,narrow,4,16MB,off,10000000,1.625,6153846,63990,18,245295649,138868,24.5,0.55,144.0,19765,19776,153.3,23,649.8,442826752
wide_replica_j1,replica,existing,off,wide,1,16MB,off,600000,3.004,199733,93534,27,612107945,211112,1020.2,0.87,194.3,1037,1114,120.6,78,1150.9,702676992
wide_replica_j4,replica,existing,off,wide,4,16MB,off,600000,2.087,287494,93884,27,612130949,214480,1020.2,0.87,279.7,62775,62789,331.2,41,911.7,702185472
narrow_unlogged_j1,replica,unlogged,off,narrow,1,16MB,off,10000000,2.185,4576659,3,2,6028,5896,0.0,0.00,0.0,0,2,0.1,2,2.6,443154432
narrow_unlogged_j4,replica,unlogged,off,narrow,4,16MB,off,10000000,0.766,13054830,6,2,7426,7192,0.0,0.00,0.0,0,2,0.1,2,2.8,443285504
wide_unlogged_j1,replica,unlogged,off,wide,1,16MB,off,600000,1.279,469116,4,3,18709,18528,0.0,0.00,0.0,0,2,0.1,2,2.5,702676992
narrow_minimal_newrel_j1,minimal,newrel,off,narrow,1,16MB,off,10000000,3.723,2686005,42,17,105046,101684,0.0,0.00,0.0,0,2,0.1,2,2.5,443285504
wide_minimal_newrel_j1,minimal,newrel,off,wide,1,16MB,off,600000,3.364,178359,101,25,160577,150400,0.3,0.00,0.0,0,3,0.2,3,444.1,702971904
narrow_minimal_existing_j1,minimal,existing,off,narrow,1,16MB,off,10000000,3.017,3314550,63803,18,245138443,139448,24.5,0.55,77.5,0,43,71.2,43,602.6,443154432
narrow_replica_freeze_j1,replica,newrel_freeze,off,narrow,1,16MB,off,10000000,2.837,3524850,63829,18,245538796,103772,24.6,0.55,82.5,124,165,63.5,41,482.1,443219968
wide_replica_freeze_j1,replica,newrel_freeze,off,wide,1,16MB,off,600000,2.561,234283,93605,24,612725375,133748,1021.2,0.87,228.2,214,292,146.8,78,1037.6,702906368
narrow_replica_lz4_j1,replica,existing,lz4,narrow,1,16MB,off,10000000,3.047,3281916,63803,18,245003213,4214,24.5,0.55,76.7,0,43,57.0,43,633.9,443154432
narrow_logical_j1,logical,existing,off,narrow,1,16MB,off,10000000,3.107,3218538,63803,18,245139179,140172,24.5,0.55,75.2,30,72,55.2,43,714.8,443154432
narrow_replica_j4_wb256,replica,existing,off,narrow,4,256MB,off,10000000,1.416,7062146,63970,18,245293494,141468,24.5,0.55,165.2,0,26,258.1,26,553.7,443023360
wide_replica_j4_wb256,replica,existing,off,wide,4,256MB,off,600000,2.210,271493,93917,27,612130498,212192,1020.2,0.87,264.2,0,52,609.7,52,1097.1,702513152
wide_replica_j1_wb256,replica,existing,off,wide,1,256MB,off,600000,2.747,218420,93534,27,612105705,208872,1020.2,0.87,212.5,0,79,138.3,79,1077.4,702676992
narrow_img_j1,replica,existing,off,narrow,1,16MB,on,10000000,3.280,3048780,63803,44073,409415390,359800320,40.9,0.92,119.0,2600,2650,105.7,50,878.8,443154432
narrow_img_zstd_j1,replica,existing,zstd,narrow,1,16MB,on,10000000,5.131,1948937,63803,44073,107650768,57947584,10.8,0.24,20.0,0,50,28.0,50,529.6,443154432
narrow_img_zstd_j4,replica,existing,zstd,narrow,4,16MB,on,10000000,1.651,6056935,63958,44100,107609652,57918122,10.8,0.24,62.2,0,21,71.2,21,208.8,443219968
wide_img_j1,replica,existing,off,wide,1,16MB,on,600000,2.676,224215,93534,76650,627235292,557723000,1045.4,0.89,223.5,2772,2851,157.6,81,1058.4,702676992
wide_zstd_j1,replica,existing,zstd,wide,1,16MB,off,600000,2.524,237717,93534,27,611900906,4067,1019.8,0.87,231.2,1502,1581,143.0,81,965.9,702676992
wide_img_zstd_j1,replica,existing,zstd,wide,1,16MB,on,600000,4.685,128068,93534,76650,99653786,29988242,166.1,0.14,20.3,0,49,25.1,49,337.5,702676992
wide_img_zstd_j4,replica,existing,zstd,wide,4,16MB,on,600000,1.731,346620,93696,76666,99400371,29839031,165.7,0.14,54.8,0,21,49.1,21,288.5,702414848
wide_img_zstd_j4_wb256,replica,existing,zstd,wide,4,256MB,on,600000,1.772,338600,93715,76667,99397372,29841964,165.7,0.14,53.5,0,22,68.9,22,259.6,702349312
